linkfield_id	fid_label	cFieldName	cComputedField	cFieldFilter	cVolgorde	bInList	iOrderAsc	iOrderDesc	cFieldType	iFieldLength	fid_LinkedLabel	bUseAsPanelVisibility	iListFieldWidth	cListColHeader	fid_ListLabel	cisd_listfieldid	fid_ListLinkedLabel
5285	611	cFilePlanningNrVpro5	NULL	NULL	090	NULL	NULL	NULL	varchar	15	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5288	669	cLocodeForwardToPort	NULL	NULL	023	NULL	NULL	NULL	varchar	5	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5289	669	bUseAsDestination	NULL	NULL	024	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5290	669	cUSHarbourCode	NULL	NULL	025	NULL	NULL	NULL	varchar	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5291	669	fid_CustomsOfficeEcs	NULL	NULL	026	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5292	669	iTransitTimeExportAnt	NULL	NULL	027	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5293	669	bLocodeChecked	NULL	NULL	028	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5349	1057	bHideForPlanning	NULL	NULL	003	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5392	669	bUseAsPodExport	NULL	NULL	029	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5393	669	bUseAsPodImport	NULL	NULL	030	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5400	1372	iPortId	NULL	NULL	000	1	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5401	1372	cPortNameShort	NULL	NULL	001	NULL	NULL	NULL	varchar	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5402	1372	cPortNameNL	NULL	NULL	002	1	NULL	NULL	varchar	50	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5403	1372	cPortNameEN	NULL	NULL	003	NULL	NULL	NULL	varchar	50	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5404	1372	fid_PortVia	NULL	NULL	004	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5405	1372	fid_Country	NULL	NULL	005	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5406	1372	Locode	NULL	NULL	006	NULL	NULL	NULL	varchar	5	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5407	1372	cLocodeForwardFromPort	NULL	NULL	007	NULL	NULL	NULL	varchar	5	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5408	1372	fid_CustomsOffice	NULL	NULL	008	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5409	1372	iTransitTimeExport	NULL	NULL	009	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5410	1372	fid_SailingAreaId	NULL	NULL	010	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5411	1372	bBlockedExport	NULL	NULL	011	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5412	1372	dBlockedExport	NULL	NULL	012	NULL	NULL	NULL	date	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5413	1372	bBlockedImport	NULL	NULL	013	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5414	1372	dBlockedImport	NULL	NULL	014	NULL	NULL	NULL	date	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5415	1372	bBlockedSailingSchedule	NULL	NULL	015	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5416	1372	dBlockedSailingSchedule	NULL	NULL	016	NULL	NULL	NULL	date	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5417	1372	cFrequency	NULL	NULL	017	NULL	NULL	NULL	varchar	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5418	1372	cPrepaidCollect	NULL	NULL	018	NULL	NULL	NULL	varchar	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5419	1372	cImoInfo	NULL	NULL	019	NULL	NULL	NULL	varchar	250	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5420	1372	ZoekReeks	NULL	NULL	020	NULL	NULL	NULL	varchar	111	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5421	1372	fid_ForwardedFromId	NULL	NULL	021	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5422	1372	bExtraTextRequired	NULL	NULL	022	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5423	1372	cLocodeForwardToPort	NULL	NULL	023	NULL	NULL	NULL	varchar	5	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5424	1372	bUseAsDestination	NULL	NULL	024	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5425	1372	cUSHarbourCode	NULL	NULL	025	NULL	NULL	NULL	varchar	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5426	1372	fid_CustomsOfficeEcs	NULL	NULL	026	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5427	1372	iTransitTimeExportAnt	NULL	NULL	027	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5428	1372	bLocodeChecked	NULL	NULL	028	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5429	1372	bUseAsPodExport	NULL	NULL	029	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5430	1372	bUseAsPodImport	NULL	NULL	030	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5437	669	bUseAsPolExport	NULL	NULL	031	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5438	669	bUseAsPolImport	NULL	NULL	032	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5470	1156	InvoiceCurrRate	NULL	NULL	049	NULL	NULL	NULL	float	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
